name,google_place_id,search_query,latitude,longitude,address,average_rating,review_count,category,description,description_original
EscapeCEBU,ChIJYXnnKByZqTMRC1Wb7XGAw3E,things to do in Cebu,10.3042607,123.91119909999998,"Units 2083 - 2085, 2nd Floor, Robinsons Galleria, Cebu City, 6000 Cebu, Philippines",4.7,45.0,entertainment,"EscapeCEBU entertainment Reliable Cebu Tours with Local Touch Hi, I'm Jes, a local driver and tour operator based in Cebu, Philippines. I provide safe, comfortable, and well organized private tours around Cebu and nearby … amusement center","Reliable Cebu Tours with Local Touch Hi, I'm Jes, a local driver and tour operator based in Cebu, Philippines. I provide safe, comfortable, and well organized private tours around Cebu and nearby …"
National Museum of the Philippines - Cebu,ChIJZW5_y-abqTMRO1ZYVTbD6mE,things to do in Cebu,10.2917822,123.9044399,"A. Pigafetta Street, Cebu City, 6000 Cebu, Philippines",4.6,632.0,museum,"National Museum of the Philippines - Cebu Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center","Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center"
BPI Museum,ChIJ7QGoYuGbqTMRU-2y4Igwiyw,things to do in Cebu,10.2936137,123.9025117,"7WV3+C2R, P. Burgos St, Cebu City, 6000 Cebu, Philippines",4.0,11.0,museum,"BPI Museum Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: House museum museum tourist attraction","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: House museum"
Aguinid Falls,ChIJUx4yODN2qzMRkZqWp_7Nego,things to do in Cebu,9.507662,123.3019219,"G852+3Q7, Samboan, Cebu, Philippines",4.5,464.0,attraction,"Aguinid Falls attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity tourist attraction","Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity"
Cebu City Sports Center,ChIJf4X5EVeZqTMRQ_EpX26alNA,things to do in Cebu,10.3005725,123.8954441,"179 R. Landon Street, 6000 Osmeña Blvd, Cebu City, 6000 Cebu, Philippines",4.4,2299.0,entertainment,"Cebu City Sports Center entertainment Well-known arena for major sporting & community events, with a capacity of 5,500 people. stadium tourist attraction sports complex event venue sports activity location Location: Cebu City Sports Center (Abellana), Cebu City — approx. 1.5 hour away from Mactan Airport. | What to expect: 24/7 free access of the track oval","Well-known arena for major sporting & community events, with a capacity of 5,500 people."
Mactan Shrine,ChIJ3xcIQNCXqTMR5QCimnAfri4,historical landmarks in Cebu,10.3108234,124.0152507,"Mactan Shrine, 6015 Punta Engaño Rd, Lapu-Lapu, 6015 Cebu, Philippines",4.4,1370.0,history,"Mactan Shrine history Location: Sibonga, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Biggest church in Cebu, Home of the miraculous image of Mama Mary historical landmark tourist attraction historical place","Location: Sibonga, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Biggest church in Cebu, Home of the miraculous image of Mama Mary"
Andres Bonifacio Monument and Historical Marker,ChIJBcknJOGbqTMR0FI5ageqdP8,historical landmarks in Cebu,10.29235,123.9049429,"7WR3+WXP, Cebu City, 6000 Cebu, Philippines",4.5,12.0,history,"Andres Bonifacio Monument and Historical Marker history Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens historical landmark historical place","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Church and Convent of Santo Niño Historical Marker,ChIJsU0lXrqbqTMRSzJaUJRJoiQ,historical landmarks in Cebu,10.2941274,123.9021217,"Basilica Menore Del, 7WV2+MR5, Cebu City, 6000 Cebu, Philippines",4.5,19.0,history,"Church and Convent of Santo Niño Historical Marker history Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens historical landmark historical place This famous church dates back to the early Spanish colonial era. The Church was founded by the Augustinian friars since their arrival in 1565. You could also find in the church the miraculous image…","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Battle of Tres de Abril Marker,ChIJPTWPS_6bqTMRToHjT4WgsQY,historical landmarks in Cebu,10.2967977,123.8887882,"7VWQ+PG7, V Rama Ave, Cebu City, 6000 Cebu, Philippines",4.3,11.0,history,"Battle of Tres de Abril Marker history Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view historical landmark historical place","Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view"
South Road Properties Welcome Hill Tower,ChIJs6m8SvabqTMRcrwULq3v-uk,historical landmarks in Cebu,10.2871051,123.8870827,"7VPP+RRW, Cebu South Coastal Rd, Antuwanga, Cebu City, 6000 Cebu, Philippines",4.5,41.0,history,"South Road Properties Welcome Hill Tower history Offering affordable Cebu Tour packages, we also costumize your Cebu tours including top destinations in Cebu South, City and Bohol tours. Our team is committed to give you a hassle free tours, affordable… historical landmark historical place","Offering affordable Cebu Tour packages, we also costumize your Cebu tours including top destinations in Cebu South, City and Bohol tours. Our team is committed to give you a hassle free tours, affordable…"
Monument of Italian Antonio Pigafetta,ChIJkQyF2eCbqTMRT8Gue94LhzI,historical landmarks in Cebu,10.2921964,123.9056149,"7WR4+V6H, Cebu City, 6000 Cebu, Philippines",4.1,21.0,history,"Monument of Italian Antonio Pigafetta history Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view historical landmark historical place","Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view"
Miguel López de Legazpi Monument,ChIJC9HXAuGbqTMRgVdZM4RjjwE,historical landmarks in Cebu,10.2933963,123.905144,"Cebu City, 6000 Cebu, Philippines",4.2,40.0,history,"Miguel López de Legazpi Monument history Location: Brgy. Malubog, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Overlooking view, Instagrammable spots historical landmark historical place Terrazas de Flores is a flower terraces botanical garden in Malubog, shortly after Busay and approximately 15 minutes away from Cebu IT Park. Proudly a Cebuano work of art, the garden was built by…","Location: Brgy. Malubog, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Overlooking view, Instagrammable spots"
Lapulapu Monument,ChIJv57vuByXqTMRVxIpurXB7Vg,historical landmarks in Cebu,10.3113842,124.0152841,"8268+H43, Punta Engaño Rd, Lapu-Lapu, 6015 Cebu, Philippines",4.4,1102.0,history,"Lapulapu Monument history Bronze 20-m. statue of native warrior Lapu-Lapu, who defeated Magellan & his men in 1521. monument historical landmark tourist attraction historical place","Bronze 20-m. statue of native warrior Lapu-Lapu, who defeated Magellan & his men in 1521."
Cebu China Town,ChIJb0AvS8ObqTMRiOdREpMasi0,historical landmarks in Cebu,10.294058,123.89993589999996,"343 Plaridel St, Cebu City, 6000 Cebu, Philippines",4.0,5.0,history,"Cebu China Town history Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens historical landmark historical place","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Philippine Chinese Spiritual Temple,ChIJI-Q9vUuZqTMReWgG8h-y65w,historical landmarks in Cebu,10.313991,123.88934499999998,"8V7Q+HPX, Don Pedro Rodriguez, Cebu City, 6000 Cebu, Philippines",4.6,36.0,religious,"Philippine Chinese Spiritual Temple religious Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view buddhist temple tourist attraction place of worship association or organization","Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view"
Carmelite Monastery,ChIJEalesxWZqTMRXDp52gxWuPo,historical landmarks in Cebu,10.3187219,123.911479,"8W96+FHQ, New Era, Cebu City, 6000 Cebu, Philippines",4.8,1047.0,religious,"Carmelite Monastery religious Carmelite Monastery is a religious located in Cebu, Philippines. tourist attraction place of worship association or organization","Carmelite Monastery is a religious located in Cebu, Philippines."
Cuartel Ruins (Museo Oslob),ChIJKyHUX_SfqzMRGnhoQMklRJY,historical landmarks in Cebu,9.5201955,123.4341635,"Oslob, Cebu, Philippines",4.5,1279.0,history,"Cuartel Ruins (Museo Oslob) history Cuartel Ruins (Museo Oslob) is a history located in Cebu, Philippines. historical landmark tourist attraction historical place","Cuartel Ruins (Museo Oslob) is a history located in Cebu, Philippines."
Chapel of San Pedro Calungsod,ChIJ95A-5AycqTMRAigIv9nsSQs,historical landmarks in Cebu,10.2817974,123.8778229,"7VJH+R43 SM Seaside Complex, Church Ave, Cebu City, 6000 Cebu, Philippines",4.7,684.0,religious,"Chapel of San Pedro Calungsod religious Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view tourist attraction church place of worship association or organization","Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view"
Old Panghaw Ruins,ChIJ4bw-lTQBqTMR_vaucHWN0NA,historical landmarks in Cebu,10.6396003,123.7737131,"JQQF+RF, Asturias, Cebu, Philippines",4.8,4.0,attraction,"Old Panghaw Ruins attraction Old Panghaw Ruins is a attraction located in Cebu, Philippines. tourist attraction","Old Panghaw Ruins is a attraction located in Cebu, Philippines."
Minor Basilica of the Holy Child of Cebu (Basilica Minore Del Sto. Niño de Cebu),ChIJp45-1uObqTMRKiyk55UEjGY,historical landmarks in Cebu,10.2941085,123.9021057,"Pilgrim’s Center, Osmeña Blvd, Cebu City, 6000 Cebu, Philippines",4.7,8630.0,religious,"Minor Basilica of the Holy Child of Cebu (Basilica Minore Del Sto. Niño de Cebu) religious Catholic church dating to the 1500s, rebuilt in the 1700s, known for its statue of Jesus as a child. tourist attraction church place of worship association or organization Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens","Catholic church dating to the 1500s, rebuilt in the 1700s, known for its statue of Jesus as a child."
Bagacay Point Lighthouse,ChIJP_YPFwq9qTMRhff__b7AQqY,historical landmarks in Cebu,10.3833317,124.0185103,"92M9+8CJ, Liloan, 6002 Cebu, Philippines",4.4,260.0,history,"Bagacay Point Lighthouse history Long-standing lighthouse with an octagonal tower in a tranquil setting overlooking the ocean. historical landmark tourist attraction historical place Location: Liloan, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: 172-feet active lighthouse tower",Long-standing lighthouse with an octagonal tower in a tranquil setting overlooking the ocean.
Cebu Archdiocesan Shrine of Saint Pedro Calungsod,ChIJM7oYEkWZqTMRTTYgCz5HUaY,historical landmarks in Cebu,10.3083877,123.8986326,"Archbishop's Residence Compound, 234 Dionisio Jakosalem St, Cebu City, 6000 Cebu, Philippines",4.7,108.0,religious,"Cebu Archdiocesan Shrine of Saint Pedro Calungsod religious Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens church place of worship association or organization","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Fuente Osmeña Circle,ChIJzS-uWE6ZqTMR7yjRf5E9bt0,historical landmarks in Cebu,10.3098543,123.8931559,"8V5V+W7R, Fuente Osmeña Cir, Cebu City, 6000 Cebu, Philippines",4.2,2781.0,nature,"Fuente Osmeña Circle nature Fuente Osmeña Circle is a nature located in Cebu, Philippines. city park park","Fuente Osmeña Circle is a nature located in Cebu, Philippines."
Mercado Mansion,ChIJ5-55wmd9qTMR6ltkkrdlwOw,historical landmarks in Cebu,10.1045375,123.6413281,"4J3R+RG8, Carcar, Cebu, Philippines",4.4,31.0,history,"Mercado Mansion history Location: Central Bloc, IT Park, Lahug, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Food market historical landmark historical place","Location: Central Bloc, IT Park, Lahug, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Food market"
Gotiaoco Building,ChIJD4VamGibqTMRVm86CV46lfY,historical landmarks in Cebu,10.2924577,123.9019564,"Gotiaoco, Building M. C. Briones St, Cebu City, 6000 Cebu, Philippines",5.0,1.0,history,"Gotiaoco Building history Gotiaoco Building is a history located in Cebu, Philippines.","Gotiaoco Building is a history located in Cebu, Philippines."
Magellan's Marker,ChIJaWQelRyXqTMRVFOehBPdGPs,historical landmarks in Cebu,10.3108333,124.0152778,"6015 Punta Engaño Rd, Lapu-Lapu, 6015 Cebu, Philippines",4.2,1596.0,history,"Magellan's Marker history Statue & park honoring Lapu-Lapu, the warrior who defeated Magellan, with markets & dining nearby. monument tourist attraction Location: Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: One of the oldest churches in Cebu, iconic / historical landmark","Statue & park honoring Lapu-Lapu, the warrior who defeated Magellan, with markets & dining nearby."
Jumalon Butterfly Sanctuary And Art Gallery,ChIJ40-A7RecqTMR3k8P-RT__BU,historical landmarks in Cebu,10.290659,123.8644898,"7VR7+9WJ, J.N Julian Jumalon St, Cebu City, 6000 Cebu, Philippines",4.4,240.0,museum,"Jumalon Butterfly Sanctuary And Art Gallery museum Lush outdoor reserve featuring many species of butterflies, plus an indoor collection & art gallery. art gallery tourist attraction art museum museum Location: Brgy. Corte, Carmen, Northern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Nippa hut accommodation, Cold spring See rare butterflies at the only park of its kind in the Philippines.","Lush outdoor reserve featuring many species of butterflies, plus an indoor collection & art gallery."
Sergio V. Osmeña Jr. Monument,ChIJX0FewuObqTMRpcVANk2piqg,historical landmarks in Cebu,10.2932832,123.9015783,"7WV2+8J8, Cebu City, 6000 Cebu, Philippines",2.4,5.0,history,"Sergio V. Osmeña Jr. Monument history Sergio V. Osmeña Jr. Monument is a history located in Cebu, Philippines. historical landmark historical place","Sergio V. Osmeña Jr. Monument is a history located in Cebu, Philippines."
Cebu City Museum,ChIJpcoLrk6ZqTMRcExWAjIzTbo,museums in Cebu,10.3120665,123.8919806,"2nd Floor, Rizal Memorial Library & Museum Building, 6000, Osmeña Blvd, Cebu City, 6000 Cebu, Philippines",3.9,14.0,museum,"Cebu City Museum Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens art museum museum","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
UP Cebu Museum of Art & Culture,ChIJOztTQwCZqTMRSfbvMK1lusQ,museums in Cebu,10.3223818,123.8981968,"UP Administration Building, Cebu City, 6000 Cebu, Philippines",3.3,3.0,museum,"UP Cebu Museum of Art & Culture Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center","Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center"
Museo Parian sa Sugbo,ChIJff35ql-ZqTMR2rs9ITa-M8A,museums in Cebu,10.298621,123.9040132,"7WX3+CJR, Zulueta St, Cebu City, 6000 Cebu, Philippines",4.6,11.0,history,"Museo Parian sa Sugbo history Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district history museum museum “The Biggest Weekend Food Market In Cebu” Sugbo Mercado opened on September 25, 2015, with the goal of being the first and biggest year-round weekly food market in Cebu and as a venue for the best…","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district"
Rizal Memorial Library & Museum Building,ChIJi90hrk6ZqTMRpSo_IcOSSrU,museums in Cebu,10.3120889,123.8920364,"Osmeña Blvd, Cebu City, 6000 Cebu, Philippines",4.4,186.0,museum,"Rizal Memorial Library & Museum Building Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: House museum Casa Gorordo is a house museum located in the historic Parian district of Cebu, the oldest city in the Philippines. Built in the 1850's, it lived through several important social changes that shaped…","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: House museum"
Cebu Normal University Museum,ChIJVVVVWVeZqTMRl7svJzEKQdE,museums in Cebu,10.3013452,123.896342,"Cebu Normal University, Osmena Boulevard, 8V2W+GGP, Osmeña Blvd, Cebu City, 6000 Cebu, Philippines",4.5,83.0,museum,"Cebu Normal University Museum Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center museum tourist attraction","Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center"
Mactan World Museum,ChIJv5CQXACXqTMRoPabt38KtYk,museums in Cebu,10.3081799,124.0137255,"Newtown Blvd, 8257+7FH, The Mactan Newtown, Lapu-Lapu, 6015 Cebu, Philippines",4.7,3.0,history,"Mactan World Museum history Location: Brgy. Gabi, Cordova, Cebu — approx. 1-1.5 hour away from Mactan Airport. | What to expect: 3D paintings, over 85 artworks history museum museum","Location: Brgy. Gabi, Cordova, Cebu — approx. 1-1.5 hour away from Mactan Airport. | What to expect: 3D paintings, over 85 artworks"
STC Folklife Museum,ChIJY-TUSIGZqTMR3Wq19sd6T4o,museums in Cebu,10.3123032,123.8963888,"8V6W+WHC, Cebu City, 6000 Cebu, Philippines",3.5,6.0,museum,"STC Folklife Museum STC Folklife Museum is a museum located in Cebu, Philippines.","STC Folklife Museum is a museum located in Cebu, Philippines."
Carcar City Museum,ChIJWXXYEWh9qTMR4F1__49kG-0,museums in Cebu,10.1059239,123.6409045,"Carcar Town Plaza, Santa Catalina, Carcar, Cebu, Philippines",4.1,89.0,museum,"Carcar City Museum Location: Cebu City Sports Center (Abellana), Cebu City — approx. 1.5 hour away from Mactan Airport. | What to expect: 24/7 free access of the track oval tourist attraction museum","Location: Cebu City Sports Center (Abellana), Cebu City — approx. 1.5 hour away from Mactan Airport. | What to expect: 24/7 free access of the track oval"
Governors' Gallery,ChIJAQAA0EuZqTMRa-VZiB1rJ0M,museums in Cebu,10.3138406,123.890929,"RLT Building, 53 Don Gil Garcia St, Cebu City, 6000 Cebu, Philippines",4.0,1.0,museum,"Governors' Gallery museum Governors' Gallery is a museum located in Cebu, Philippines. museum tourist attraction","Governors' Gallery is a museum located in Cebu, Philippines."
Boljoon Parish Museum,ChIJfwUUEeGiqzMRDZchWloRdos,museums in Cebu,9.6296758,123.4794456,"JFJH+2QH, Natalio Bacalso Avenue, Boljoon, Cebu, Philippines",4.6,53.0,museum,"Boljoon Parish Museum Boljoon Parish Museum is a museum located in Cebu, Philippines. tourist attraction museum","Boljoon Parish Museum is a museum located in Cebu, Philippines."
Qube Gallery,ChIJm2Mp6xiZqTMRemzTwBMXRVk,museums in Cebu,10.328227000000002,123.909507,"Cross Roads, Gov. M. Cuenco Ave, Cebu City, 6000 Cebu, Philippines",4.5,51.0,museum,Qube Gallery museum ANTHILL (Alternative Nest and Trading/ Training Hub for Indigenous/ Ingenious Little Livelihood seekers) Fabric Gallery is a social and cultural enterprise that works to preserve and promote our Philippine… art gallery tourist attraction,ANTHILL (Alternative Nest and Trading/ Training Hub for Indigenous/ Ingenious Little Livelihood seekers) Fabric Gallery is a social and cultural enterprise that works to preserve and promote our Philippine…
Terrazas de Flores Botanical Garden and Restaurant,ChIJva7EA-KhqTMRXv0yKCs_kPg,museums in Cebu,10.3782808,123.86907370000002,"Cebu Transcentral Hwy, Cebu City, 6000 Cebu, Philippines",4.3,552.0,food_drink,"Terrazas de Flores Botanical Garden and Restaurant food_drink Showcase of tropical blooms & native plants, grown on mountainside terraces, with cabanas & a cafe. restaurant tourist attraction botanical garden cafe food Location: Brgy. Malubog, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Overlooking view, Instagrammable spots Terrazas de Flores is a flower terraces botanical garden in Malubog, shortly after Busay and approximately 15 minutes away from Cebu IT Park. Proudly a Cebuano work of art, the garden was built by…","Showcase of tropical blooms & native plants, grown on mountainside terraces, with cabanas & a cafe."
Museo de Naga,ChIJRYgcrqV5qTMRatgajOsUJiE,museums in Cebu,10.2079751,123.7594025,"6Q55+5QR, Naga, Cebu, Philippines",4.7,6.0,museum,"Museo de Naga museum Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district"
Medellin Town Museum,ChIJZar-8URlqDMRN_CRHFT0Fco,museums in Cebu,11.1294341,123.9617309,"4XH6+QMH, Daan Bantayan Road, Medellin, Cebu, Philippines",4.2,15.0,museum,"Medellin Town Museum Medellin Town Museum is a museum located in Cebu, Philippines.","Medellin Town Museum is a museum located in Cebu, Philippines."
Rica Juarez Studio,ChIJnagE7CsNqTMRFZ1wkCBdgH8,museums in Cebu,10.4525812,123.6751241,"FM3G+496, Toledo, Cebu, Philippines",5.0,4.0,museum,"Rica Juarez Studio museum Rica Juarez Studio is a museum located in Cebu, Philippines. art museum museum","Rica Juarez Studio is a museum located in Cebu, Philippines."
Cordova Museum,ChIJpfi_g_WaqTMRbZPSsZ7-BsU,museums in Cebu,10.2521662,123.9496556,"7W2X+VV6, Bantayan Rd, Cordova, Cebu, Philippines",2.8,4.0,museum,"Cordova Museum Location: Cordova, Northern Cebu — approx. 1 hour away from Mactan Airport. | What to expect: Man-made island","Location: Cordova, Northern Cebu — approx. 1 hour away from Mactan Airport. | What to expect: Man-made island"
Ayala Terraces,ChIJR6nEAT-ZqTMRrs6rLtOswdk,museums in Cebu,10.3189056,123.90593119999998,"8W94+H97, Biliran Rd, Cebu City, 6000 Cebu, Philippines",4.5,6697.0,shopping,"Ayala Terraces shopping Ayala Terraces is a shopping located in Cebu, Philippines. shopping mall","Ayala Terraces is a shopping located in Cebu, Philippines."
Jose Joya Art Gallery,ChIJm1S9B92ZqTMRcvwrwgnkgN4,museums in Cebu,10.3234567,123.8978974,"8VFX+95J, Cebu City, 6000 Cebu, Philippines",5.0,12.0,museum,"Jose Joya Art Gallery museum The Paulina Constancia Museum of Naive Art [MoNA] is part of West Gorordo Hotel’s Cultural Stewardship Program. It is a means to showcase, share and protect local art and culture. Through the Museum…","The Paulina Constancia Museum of Naive Art [MoNA] is part of West Gorordo Hotel’s Cultural Stewardship Program. It is a means to showcase, share and protect local art and culture. Through the Museum…"
Artissimo Art House,ChIJH2URLOaYqTMRAo6UJjq4ar0,museums in Cebu,10.343520800000002,123.9111639,"8WV6+CF3, Cebu City, 6000 Cebu, Philippines",4.5,6.0,entertainment,"Artissimo Art House entertainment Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district art studio The Paulina Constancia Museum of Naive Art [MoNA] is part of West Gorordo Hotel’s Cultural Stewardship Program. It is a means to showcase, share and protect local art and culture. Through the Museum…","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district"
ALIGATO PALACE,ChIJsxkTKgCdqTMRSM0rYN4esCU,museums in Cebu,10.2953632,123.87264580000002,"334b Tres de Abril St, Cebu City, 6000 Cebu, Philippines",5.0,3.0,museum,"ALIGATO PALACE museum ALIGATO PALACE is a museum located in Cebu, Philippines.","ALIGATO PALACE is a museum located in Cebu, Philippines."
Museo de Talisay (ecomuseum),ChIJZz844hudqTMRrHiRx6mqHdk,museums in Cebu,10.2456852,123.844656,"Gabaldon Building, Talisay City Central Elementary School, 6RWV+7VC, Jose Rizal St, Talisay, Cebu, Philippines",3.2,5.0,museum,"Museo de Talisay (ecomuseum) Museo de Talisay (ecomuseum) is a museum located in Cebu, Philippines.","Museo de Talisay (ecomuseum) is a museum located in Cebu, Philippines."
Sky Park Garden,ChIJdcjIFgucqTMR-kymV6QRuqA,parks in Cebu,10.280702,123.8803979,"SM, Cebu, Cebu South Coastal Rd, Cebu City, 6000 Cebu, Philippines",4.7,36.0,nature,"Sky Park Garden nature Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
D' Family Park,ChIJ8z8T0ZWYqTMRE57h00Gphes,parks in Cebu,10.3585053,123.9107686,"9W56+C82, Cebu City, 6000 Cebu, Philippines",4.1,536.0,nature,"D' Family Park nature Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens park tourist attraction We are the largest Oceanarium in the Philippines aiming to provide both our visitors and community a unique marine-life experience to achieve our dream to educate, conserve and inspire. What drives…","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Mountain View Nature's Park,ChIJAQAAAE2fqTMRzRCgt8lYPJQ,parks in Cebu,10.3711179,123.8742785,"Cebu Transcentral Hwy, Cebu City, 6000 Cebu, Philippines",4.2,776.0,accommodation,"Mountain View Nature's Park accommodation Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Late night chill (you may not need to book a stay), Infinity pool, Accommodation resort hotel swimming pool hotel event venue park sports activity location restaurant lodging food service","Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Late night chill (you may not need to book a stay), Infinity pool, Accommodation"
Cebu IT Park,ChIJzQIV3CGZqTMRlWk_9p1F2hQ,parks in Cebu,10.3298721,123.9081332,"Cebu IT Park, Brgy Apas, Cebu City, 6000 Cebu, Philippines",4.5,11056.0,nature,"Cebu IT Park nature Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Freedom Park,ChIJ2cwbW-ObqTMR4tzhhkB7vR4,parks in Cebu,10.2933146,123.8975946,"Carbon, Cebu City, 6000 Cebu, Philippines",4.2,553.0,nature,"Freedom Park nature Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens We are the largest Oceanarium in the Philippines aiming to provide both our visitors and community a unique marine-life experience to achieve our dream to educate, conserve and inspire. What drives…","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
